60,229
15,221
62,59
96,120
16,97
41,290
52,206
78,220
29,176
25,138
57,252
63,204
94,130
55,109
98,255
8,294
69,68
76,242
3,202
64,247
31,157
62,293
28,225
65,102
58,183
1,273
36,81
90,63
97,180
41,179
15,223
43,103
91,103
9,219
87,300
96,127
27,210
18,258
94,98
24,225
75,291
47,212
58,226
0,171
46,127
69,152
60,163
87,296
42,170
98,175
26,264
60,157
84,148
17,286
52,232
42,213
23,160
77,263
6,215
68,286
81,213
8,59
5,71
55,116
52,265
92,180
86,101
53,146
59,258
22,236
7,285
56,89
0,212
7,214
57,59
28,240
93,102
80,162
56,112
35,269
2,145
35,104
88,253
54,224
90,298
9,102
56,189
99,146
20,233
92,284
81,154
84,77
65,132
31,257
39,224
96,111
18,121
94,169
73,66
6,293
51,76
100,220
86,77
3,74
19,294
40,144
32,164
20,261
60,222
95,123
64,198
45,192
73,74
59,130
25,84
47,59
9,263
11,105
33,64
4,178
25,241
57,98
41,247
63,86
0,191
53,112
13,86
36,273
58,53
95,186
2,267
69,189
39,166
97,175
83,124
85,90
25,153
59,109
46,234
23,134
11,53
9,99
33,232
28,146
35,153
57,68
13,240
87,52
47,107
89,63
39,164
13,72
1,162
58,56
30,152
71,50
23,212
79,108
17,114
62,94
3,57
18,135
28,249
23,209
93,259
63,165
49,257
51,76
95,262
70,181
86,163
4,278
57,212
65,60
84,83
44,291
100,82
41,114
45,108
59,267
8,75
44,269
83,111
15,115
23,184
51,93
30,170
13,271
76,267
93,193
56,65
16,112
41,117
66,158
53,100
12,177
56,216
1,204
18,269
61,110
75,236
42,111
71,133
98,157
54,218
10,160
74,64
20,135
68,180
84,153
55,277
23,196
20,180
4,173
87,94
99,235
59,151
17,55
70,155
74,234
5,235
66,155
1,173
5,186
80,241
28,185
64,290
44,225
76,208
31,84
37,189
80,281
83,248
28,299
74,92
68,206
15,87
65,222
79,292
59,300
37,77
6,278
95,121
49,76
43,255
80,76
27,203
96,87
44,133
40,282
24,157
53,122
11,115
56,259
1,92
25,187
3,105
3,204
85,240
4,242
78,187
16,168
26,165
23,98
99,192
39,66
83,163
92,157
14,151
58,108
53,106
30,211
10,175
16,232
51,206
34,97
91,273
76,149
81,146
81,232
31,296
67,55
94,83
89,242
9,208
41,256
66,169
89,260
93,270
99,232
100,83
62,77
21,258
53,177
27,161
50,278
11,244
32,140
71,226
92,112
58,261
44,275
41,128
8,54
70,277
46,121
95,259
46,245
33,287
35,93
60,283
34,267
80,251
91,69
53,141
5,287
19,98
33,276
25,50
98,100
72,94
18,156
14,177
34,142
79,172
43,168
82,295
30,257
45,278
29,86
47,180
29,205
48,72
34,56
1,236
19,175
16,81
51,276
73,208
26,162
56,135
87,200
6,129
2,124
7,156
58,274
84,259
2,127
49,54
35,286
53,231
70,124
34,275
2,256
34,253
66,105
47,285
49,54
51,211
23,144
4,149
68,244
14,156
42,295
73,77
52,192
100,213
44,169
56,286
34,65
87,63
93,188
13,196
38,109
5,208
100,194
11,248
48,254
61,63
53,89
72,298
48,199
65,196
85,281
16,98
62,156
10,100
34,114
96,155
42,300
14,95
22,218
33,153
22,69
14,153
36,84
53,196
18,140
19,226
23,123
0,253
90,79
7,67
53,298
72,111
34,143
